CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend
12200,,Rafael,B,Sharma,,1693 C Northwood Dr,,Colma,California,United States,94014,717-555-0111,7/23/1937,Graduate Degree,Management,M,M,1,2,0,4,114383,69
13845,,Shawn,C,Nara,,5497 Brandywine Way,,Kirkby,England,United Kingdom,KB9,1 (11) 500 555-0170,10/26/1975,Bachelors ,Skilled Manual,M,M,1,0,1,1,72078,88
19453,,Veronica,R,Rana,,Hellweg 4493,,Berlin,Saarland,Germany,12171,1 (11) 500 555-0133,5/11/1967,Bachelors ,Clerical,F,M,1,0,0,0,50996,50
29308,,Phillip,,Vance,,7378 Fairfield Avenue,,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0144,7/13/1963,Bachelors ,Professional,M,S,0,2,0,0,101465,77
18551,,Chloe,E,Hall,,210 Stanley Dollar Dr.,,Everett,Washington,United States,98201,710-555-0180,4/5/1970,Bachelors ,Skilled Manual,F,M,1,1,1,1,41445,56
24093,,Claudia,F,He,,867 La Orinda Place,,Runcorn,England,United Kingdom,TY31,1 (11) 500 555-0189,3/15/1966,Graduate Degree,Skilled Manual,F,S,0,0,0,0,116294,51
21091,,Ashley,,Jenkins,,Königsteiner Straße 500,,Hamburg,Hamburg,Germany,20354,1 (11) 500 555-0119,4/19/1965,Partial College,Clerical,F,S,1,2,2,2,52211,60
17013,,Gabriella,L,Mitchell,,7459 Rolando Avenue,,Salem,Oregon,United States,97301,150-555-0182,3/9/1962,Bachelors ,Professional,F,S,0,1,0,1,90743,47
20831,,Drew,,Xu,,Alderweg 7,Verkaufsabteilung,Münster,Saarland,Germany,48001,1 (11) 500 555-0137,6/6/1961,Graduate Degree,Clerical,M,M,1,0,0,4,63368,76
28116,,Sabrina,M,Dominguez,,8452 Pine Hollow Rd.,,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0187,2/5/1953,Partial College,Skilled Manual,F,S,1,2,0,2,48639,47
13777,,Manuel,C,Perez,,8887 Entrada Circle,,London,England,United Kingdom,W1N 9FA,1 (11) 500 555-0149,11/13/1967,Bachelors ,Clerical,M,M,1,0,1,1,54403,92
29219,,Darren,,Arun,,5137 Napa Court,,Chula Vista,California,United States,91910,160-555-0114,6/17/1964,Graduate Degree,Management,M,S,0,2,2,2,184747,113
11406,,Latoya,L,Xu,,"101, rue de Terre Neuve",,Paris,Seine (Paris),France,75010,1 (11) 500 555-0141,7/3/1952,Partial College,Manual,F,M,1,1,0,2,32283,42
18469,,Robyn,A,Rubio,,1940 Nulty Drive,,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0159,3/10/1954,Partial College,Skilled Manual,F,S,0,2,0,2,96833,50
27271,,Anna,S,Reed,,8209 Green View Court,,Edmonds,Washington,United States,98020,114-555-0181,9/13/1971,Graduate Degree,Professional,F,M,1,0,0,1,102447,59
27459,,Kevin,,Kumar,,9359 Smiling Tree Court,,Burbank,California,United States,91502,110-555-0111,11/26/1968,Graduate Degree,Management,M,M,1,2,0,1,176052,95
27647,,Daniel,L,Moore,,8672 Price Lane,,San Gabriel,California,United States,91776,433-555-0110,9/25/1961,Partial College,Professional,M,M,0,4,2,2,179354,128
28588,,Emma,R,Griffin,,6067 Mt. Diablo St.,,Torrance,California,United States,90505,676-555-0134,6/1/1954,Partial College,Clerical,F,M,1,1,0,1,36710,46
16160,,Erika,,Hernandez,,3752 Colorado Dr.,,Malabar,New South Wales,Australia,2036,1 (11) 500 555-0124,6/20/1968,Bachelors ,Professional,F,M,1,1,2,2,72801,72
22755,,Christian,,Brown,,3106 Julpum Loop,,Cliffside,British Columbia,Canada,V8Y 1L1,933-555-0166,5/11/1947,Partial College,Professional,M,M,1,1,1,2,105759,91
25471,,Spencer,R,Ross,,"699, rue Royale",,Drancy,Seine Saint Denis,France,93700,1 (11) 500 555-0169,5/21/1965,High School,Manual,M,M,1,2,2,2,14055,81
12989,,Carly,C,Goel,,4348 Via Romero,,Darlinghurst,New South Wales,Australia,2010,1 (11) 500 555-0118,11/13/1969,Graduate Degree,Management,F,M,1,0,0,1,110801,57
12111,,Jacqueline,,Gonzales,,1899 Trail Way,,Fremont,California,United States,94536,128-555-0122,8/4/1950,Partial College,Professional,F,M,1,1,1,2,75433,60
20293,,Rachel,A,Jackson,,7509 Parkside Dr.,,Mill Valley,California,United States,94941,876-555-0164,5/5/1974,Partial College,Skilled Manual,F,S,1,1,0,0,44765,46
20618,,Marie,V,Rubio,,3563 Mulberry,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0123,7/15/1971,Bachelors ,Professional,F,S,1,4,0,0,100866,51
14160,,Brittney,,Hu,,Galeriestr 619,,Erlangen,Bayern,Germany,91054,1 (11) 500 555-0155,7/5/1969,Graduate Degree,Clerical,F,M,1,0,0,0,50168,49
28524,,Paula,W,Gill,,1277 Juniper Drive,,London,England,United Kingdom,W1X3SE,1 (11) 500 555-0174,9/8/1969,Graduate Degree,Skilled Manual,F,M,1,0,0,0,93473,58
20117,,Brandon,J,Jenkins,,852 Ravenwood Drive,,Portland,Oregon,United States,97205,422-555-0193,5/10/1972,Graduate Degree,Skilled Manual,M,M,1,0,0,0,73025,72
17647,,Molly,C,Lopez,,"91, cours Mirabeau",,Dunkerque,Nord,France,59140,1 (11) 500 555-0183,11/15/1971,Partial College,Clerical,F,S,1,1,2,2,48594,60
29047,,Jack,I,Lopez,,9730 Krueger Drive,,Port Hammond,British Columbia,Canada,V6B 3P7,605-555-0130,6/2/1963,Bachelors ,Management,M,M,1,0,3,4,133000,133
21849,,Todd,,Chow,,"2408, rue Maillard",,Saint Ouen,Somme,France,80610,1 (11) 500 555-0182,1/13/1952,Partial College,Professional,M,M,1,2,1,4,110154,92
27328,,Edgar,,Srini,,"92, rue Mazagran",,Lille,Nord,France,59000,1 (11) 500 555-0130,3/27/1949,High School,Management,M,S,1,3,1,5,120965,87
21704,,Charles,D,Martinez,,9900 Clearbrook Drive,,Seattle,Washington,United States,98104,122-555-0118,4/26/1955,Partial College,Clerical,M,M,1,1,0,1,58500,76
24858,,Calvin,A,Xie,,6915 San Ramon Valley Blvd.,#6,Leeds,England,United Kingdom,LE18,1 (11) 500 555-0188,5/5/1954,High School,Professional,M,M,1,4,4,4,163402,153
20529,,Destiny,M,Jackson,,5024 Countrywood Ct.,,Bellingham,Washington,United States,98225,171-555-0158,11/27/1950,Partial College,Professional,F,S,0,2,1,2,76667,53
20232,,Franklin,L,Chande,,867 Calico Way,,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0166,5/11/1964,Bachelors ,Professional,M,M,1,2,3,3,111668,134
14610,,Lauren,S,Jenkins,,6697 Ridge Park Drive,,Everett,Washington,United States,98201,212-555-0186,3/24/1964,Bachelors ,Skilled Manual,F,S,1,3,5,5,60542,84
15879,,Tyler,L,Wilson,,2942 Berkhire Court,,Sooke,British Columbia,Canada,V0,777-555-0150,5/21/1945,Bachelors ,Management,M,M,1,2,0,5,93567,77
23776,,Cristina,L,Yuan,,Postfach 44 11 11,,Stuttgart,Saarland,Germany,70511,1 (11) 500 555-0185,4/22/1970,Partial College,Clerical,F,S,1,0,2,2,41724,59
16796,,Kaitlyn,F,Martin,,6396 Pueblo Dr.,,Sedro Woolley,Washington,United States,98284,463-555-0176,6/5/1948,Partial College,Professional,F,S,1,1,1,2,69375,49
26740,,Donald,A,Lopez,,8956 Birch Bark Road,,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0111,11/21/1963,Bachelors ,Professional,M,M,0,2,2,3,105681,112
15542,,Andrea,L,Baker,,6688 Las Quebrados Ln.,,Burbank,California,United States,91502,680-555-0125,4/22/1962,Bachelors ,Professional,F,S,0,1,0,1,71840,49
19480,,Lisa,R,Zeng,,Midi-Couleurs,,Courbevoie,Hauts de Seine,France,92400,1 (11) 500 555-0179,10/11/1962,Partial College,Clerical,F,M,1,1,0,1,44520,44
25860,,Justin,J,Thomas,,1023 Riveria Way,,Burbank,California,United States,91502,518-555-0138,5/27/1945,Partial High School,Clerical,M,S,1,3,0,5,18192,58
15163,,Victoria,J,Murphy,,1013 Buchanan Rd,,Yakima,Washington,United States,98901,338-555-0126,7/6/1942,Graduate Degree,Management,F,M,1,3,3,3,107785,78
23013,,Louis,J,Yang,,7485 Lacassie Ave.,,Goulburn,New South Wales,Australia,2580,1 (11) 500 555-0192,4/11/1946,High School,Skilled Manual,M,M,0,2,0,4,17567,56
18149,,Rebekah,,Blanco,,1388 Rolando Avenue,,Berkshire,England,United Kingdom,RG11 5TP,1 (11) 500 555-0134,9/11/1945,Bachelors ,Management,F,M,0,4,3,3,105742,80
20917,,Tonya,,Tang,,8219 Orangewood Rd.,,London,England,United Kingdom,E17 6JF,1 (11) 500 555-0148,2/23/1965,Bachelors ,Skilled Manual,F,M,1,0,0,1,41097,50
16623,,Andres,L,Lal,,4976 Singingwood Court,,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0127,9/4/1973,Bachelors ,Professional,M,S,1,4,5,5,173481,158
16957,,Seth,E,Wilson,,9563 Lani Kai Drive,,Tacoma,Washington,United States,98403,619-555-0115,11/20/1969,Graduate Degree,Professional,M,M,1,0,0,1,116482,82
11566,,April,L,Shan,,"401, boulevard du Montparnasse",,Cergy,Val d'Oise,France,95000,1 (11) 500 555-0172,9/2/1967,Bachelors ,Clerical,F,M,1,0,0,0,37873,54
24782,,Nicole,R,Morris,,7040 Isabel Dr.,,Beverly Hills,California,United States,90210,755-555-0149,2/7/1972,Graduate Degree,Skilled Manual,F,M,1,0,0,1,83620,58
24208,,Sabrina,S,Diaz,,"25, rue de Cambrai",,Paris,Seine (Paris),France,75007,1 (11) 500 555-0190,3/3/1969,Graduate Degree,Clerical,F,S,1,0,0,0,69648,49
20854,,Kara,,Raji,,Nollendorfplatz 5228,,Frankfurt,Hessen,Germany,60323,1 (11) 500 555-0127,2/2/1969,High School,Manual,F,S,1,0,2,2,20008,55
13262,,Jaime,D,Nara,,3048 Bayshore Rd.,,High Wycombe,England,United Kingdom,HP10 9QY,1 (11) 500 555-0141,10/21/1957,High School,Professional,M,M,1,4,3,3,164354,140
17999,,Byron,,Romero,,"55, rue Saint Denis",,Dunkerque,Nord,France,59140,1 (11) 500 555-0166,6/25/1963,High School,Manual,M,S,1,1,3,3,19410,89
20066,,Marcus,,White,,4409 North Ranchford,,Lynnwood,Washington,United States,98036,937-555-0171,8/14/1974,Partial College,Clerical,M,S,1,1,3,3,50259,100
27402,,Adam,B,Nelson,,616 Sweeney Road,,Vancouver,British Columbia,Canada,V7L 4J4,680-555-0153,6/19/1944,Partial High School,Clerical,M,S,0,2,0,5,41570,60
24046,,Cristina,,Chander,,Berliner Platz 888,,Hamburg,Hamburg,Germany,20354,1 (11) 500 555-0195,10/23/1968,High School,Manual,F,S,1,0,3,3,19286,57
14263,,Nina,L,Lal,,4753 Montanya Court,,Silverwater,New South Wales,Australia,2264,1 (11) 500 555-0145,2/24/1954,Partial College,Skilled Manual,F,S,1,2,0,2,97387,46
26081,,Edward,C,Green,,6412 Clifford Court,,Seattle,Washington,United States,98104,629-555-0147,8/23/1962,Partial College,Professional,M,S,0,3,2,2,112557,102
24813,,Armando,,Schmidt,,3495 Virginia Lane,,Concord,California,United States,94519,249-555-0138,10/21/1966,Bachelors ,Skilled Manual,M,M,1,1,3,3,116949,130
12336,,Wyatt,,Price,,7232 Mulberry,,Newcastle upon Tyne,England,United Kingdom,NT20,1 (11) 500 555-0119,7/9/1947,Graduate Degree,Professional,M,S,0,4,5,5,173625,151
25194,,Jada,,Bell,,2751 Fabian Way,,Salem,Oregon,United States,97301,928-555-0194,6/10/1954,Partial High School,Skilled Manual,F,S,1,2,0,3,53883,44
12637,,Leonard,L,Nath,,487 Ash Lane,,London,England,United Kingdom,W1Y 3RA,1 (11) 500 555-0146,3/2/1946,Partial College,Professional,M,M,1,4,4,4,156024,147
26257,,Hector,,Jimenez,,5185 Relis Valley Road,,Burlingame,California,United States,94010,922-555-0190,1/25/1955,Partial High School,Clerical,M,S,0,2,0,3,27669,58
23268,,Katelyn,E,Morris,,6155 Buckthorn Court,,Palo Alto,California,United States,94303,740-555-0170,12/25/1955,Partial College,Clerical,F,M,0,1,0,1,41296,50
26562,,Edward,L,Wilson,,9875 Grant St,,Coffs Harbour,New South Wales,Australia,2450,1 (11) 500 555-0190,1/24/1953,Partial College,Skilled Manual,M,M,1,2,0,2,50782,70
12108,,James,C,Walker,,9142 Altura Drive,,Marysville,Washington,United States,98270,314-555-0135,2/23/1950,Partial College,Professional,M,M,1,2,1,2,85059,90
12361,,Dana,C,Diaz,,2241 Concord Place,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0194,4/1/1971,Partial High School,Management,F,M,0,4,5,5,133211,114
14046,,Cheryl,G,Sanz,,9030 Louisiana Dr.,,Melton,Victoria,Australia,3337,1 (11) 500 555-0113,6/4/1967,Bachelors ,Professional,F,M,1,0,4,4,113086,92
14081,,Nicole,J,Butler,,1996 Sand Pointe Lane,,Oakland,California,United States,94611,946-555-0142,4/6/1980,High School,Skilled Manual,F,M,1,2,0,0,53158,48
26156,,Shannon,,Cai,,674 Woodchuck Pl.,,Port Macquarie,New South Wales,Australia,2444,1 (11) 500 555-0163,4/6/1962,Partial College,Skilled Manual,F,M,1,2,4,5,61763,80
14491,,Isaac,,Bailey,,82 Mt. Dell Dr.,,San Diego,California,United States,92102,356-555-0182,11/3/1953,Graduate Degree,Management,M,S,1,2,0,3,117090,82
17422,,Hunter,,Campbell,,4204 Alhambra Way,,Metchosin,British Columbia,Canada,V9,126-555-0172,4/16/1962,Partial College,Professional,M,M,1,2,4,5,114614,149
22493,,Dwayne,D,Sanz,,Kappellweg 675,,Münster,Saarland,Germany,48001,1 (11) 500 555-0132,1/21/1964,High School,Manual,M,S,1,0,3,3,43348,103
28006,,Seth,A,Torres,,9015 G St.,,Long Beach,California,United States,90802,407-555-0126,4/10/1941,Bachelors ,Management,M,S,0,2,0,3,73335,67
29039,,Xavier,,Hayes,,2652 Eastgate,,Spokane,Washington,United States,99202,782-555-0135,10/26/1969,Graduate Degree,Professional,M,S,0,2,5,5,130838,149
16314,,Gabriel,K,Ross,,9746 Hill Ct,,Stoke-on-Trent,England,United Kingdom,AS23,1 (11) 500 555-0144,4/24/1978,Partial College,Clerical,M,S,1,3,4,4,60691,109
26320,,Brianna,M,Diaz,,1349 Palm Ave.,,Los Angeles,California,United States,90012,939-555-0162,3/21/1968,Bachelors ,Skilled Manual,F,M,1,1,2,2,77992,73
22036,,Gabriella,,Hall,,4511 L St.,,Downey,California,United States,90241,874-555-0180,11/1/1975,High School,Skilled Manual,F,S,0,2,0,0,33010,42
21345,,Kristina,S,Martinez,,6053 Hill Meadow Place,,Cliffside,British Columbia,Canada,V8Y 1L1,154-555-0166,7/11/1938,Graduate Degree,Management,F,M,1,2,0,4,116290,49
14478,,Abigail,H,Patterson,,7401 Las Palmas,,Langford,British Columbia,Canada,V9,209-555-0125,8/9/1954,Partial High School,Skilled Manual,F,S,1,2,0,2,94687,55
14671,,Cristina,M,Lal,,9320 Teakwood Dr.,,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0189,8/9/1967,Bachelors ,Professional,F,M,1,1,2,2,76999,64
18692,,Preston,G,Mehta,,2228 Ashford Court,,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0118,2/10/1969,Graduate Degree,Management,M,M,1,0,0,1,134350,87
17719,,Vincent,A,Gao,,"6, avenue des Ternes",,Lieusaint,Seine et Marne,France,77127,1 (11) 500 555-0186,9/11/1938,Bachelors ,Clerical,M,M,1,1,0,2,28759,56
21508,,Suzanne,,Li,,1893 Cranberry Way,,Berks,England,United Kingdom,SL4 1RH,1 (11) 500 555-0117,3/25/1956,High School,Professional,F,M,1,4,4,4,135416,97
25539,,Mathew,D,Ortega,,"1, rue Pierre-Demoulin",,Croix,Nord,France,59170,1 (11) 500 555-0149,7/21/1962,Graduate Degree,Clerical,M,M,1,0,0,5,66670,77
13595,,Cole,L,Stewart,,"20, rue des Rosiers",,Bobigny,Seine Saint Denis,France,93000,1 (11) 500 555-0188,6/2/1951,Partial High School,Skilled Manual,M,S,1,2,2,5,80373,96
14975,,Dalton,,Scott,,4629 Candle Dr,#30,Billericay,England,United Kingdom,CM11,1 (11) 500 555-0190,7/3/1963,Bachelors ,Skilled Manual,M,M,1,0,0,1,56355,74
18852,,Allison,B,Sanders,,1693 C Northwood Dr,,Port Hammond,British Columbia,Canada,V6B 3P7,692-555-0189,7/23/1954,Partial High School,Skilled Manual,F,M,1,2,0,3,101068,50
11659,,Miguel,,Adams,,4912 Mellowood Street,,Sooke,British Columbia,Canada,V0,910-555-0185,4/22/1969,Graduate Degree,Professional,M,S,1,0,0,1,104501,75
22449,,Heather,G,He,,"11, rue Henri Gagnon",,Roissy en Brie,Seine et Marne,France,77680,1 (11) 500 555-0137,4/16/1969,Graduate Degree,Clerical,F,M,1,0,0,0,48628,48
28285,,Savannah,H,King,,9666 Stillwater Ct.,,Oregon City,Oregon,United States,97045,205-555-0187,2/27/1960,Partial College,Professional,F,M,1,4,2,3,95176,73
26245,,Devin,,Murphy,,9827 Vist Oak Dr.,,Beverly Hills,California,United States,90210,139-555-0191,9/4/1966,Graduate Degree,Skilled Manual,M,M,1,0,0,0,140708,84
12436,,Albert,A,Diaz,,8574 Hidden Oak Ct.,,Burien,Washington,United States,98168,744-555-0110,6/18/1955,Partial College,Clerical,M,M,1,1,0,1,58208,76
25884,,Elijah,S,Evans,,3055 Mt. Trinity Ct.,,Newton,British Columbia,Canada,V2L3W8,734-555-0154,10/19/1950,Partial High School,Skilled Manual,M,M,1,2,1,2,47171,85
12198,,Noah,,Scott,,1305 Willbrook Court,,Milwaukie,Oregon,United States,97222,208-555-0130,2/14/1953,Graduate Degree,Management,M,M,1,2,0,3,105571,86
23386,,Jose,,Smith,,7557 Francine Court,,Lemon Grove,California,United States,91945,124-555-0196,7/24/1960,High School,Skilled Manual,M,S,1,2,2,4,60707,91
11603,,Geoffrey,,Gonzalez,,1538 Golden Meadow,,London,England,United Kingdom,C2H 7AU,1 (11) 500 555-0131,2/6/1977,Partial College,Clerical,M,S,0,1,0,0,58729,64
11303,,Julia,,Coleman,,3128 Ramsey Circle,,Edmonds,Washington,United States,98020,907-555-0170,10/11/1960,High School,Professional,F,S,0,3,3,4,106090,75
16517,,Katrina,M,Raji,,3196 Peachwillow,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0113,3/19/1976,High School,Manual,F,M,1,0,1,1,10888,51
16415,,Andre,R,Patel,,"3963, rue Lamarck",,Tremblay-en-France,Seine Saint Denis,France,93290,1 (11) 500 555-0177,6/17/1964,High School,Manual,M,S,1,0,3,3,18485,91
20410,,Richard,,Jackson,,9322 Sunshine,,Spokane,Washington,United States,99202,790-555-0131,6/12/1977,Partial College,Skilled Manual,M,M,1,2,0,0,51671,73
25161,,Isabella,,Flores,,3628 Mt. McKinley Ct.,,National City,California,United States,91950,460-555-0110,5/13/1964,Bachelors ,Management,F,M,1,3,2,3,145841,77
14394,,Jacob,,Rodriguez,,1873 Lyon Circle,,Bellingham,Washington,United States,98225,815-555-0188,10/7/1947,Bachelors ,Management,M,M,1,1,1,4,95517,87
27721,,Clayton,,Pal,,6751 Del Rio Ln.,,Silverwater,New South Wales,Australia,2264,1 (11) 500 555-0136,1/11/1956,Partial College,Skilled Manual,M,M,1,1,0,1,120304,89
15943,,Richard,,Watson,,428 Silverado Dr.,,Victoria,British Columbia,Canada,V8V,860-555-0189,1/18/1964,Partial College,Professional,M,M,0,1,3,4,121538,130
12315,,Ann,S,Rodriguez,,4865 Rivewview,,London,England,United Kingdom,EC1R 0DU,1 (11) 500 555-0116,9/19/1953,Partial College,Professional,F,M,1,2,5,5,145398,112
18770,,Aaron,,Hernandez,,7792 Woodruff Lane,,Burbank,California,United States,91502,367-555-0197,6/5/1976,Partial College,Skilled Manual,M,S,1,1,0,0,41719,60
14921,,Sara,C,Watson,,8679 Balboa Court,,San Gabriel,California,United States,91776,514-555-0192,9/24/1959,Graduate Degree,Skilled Manual,F,S,0,0,0,4,90923,51
15526,,Isabelle,A,Flores,,926 Morning Way,,Westminster,British Columbia,Canada,V3L 1E7,342-555-0196,6/19/1964,Bachelors ,Skilled Manual,F,S,0,2,2,4,44552,60
27590,,Dominic,B,Lopez,,4092 Meager Dr.,,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0147,4/22/1967,Bachelors ,Professional,M,M,1,1,2,2,91295,108
21072,,Dominic,,Sanchez,,"1111, rue Ste-Honoré",,Roncq,Nord,France,59223,1 (11) 500 555-0176,2/22/1965,High School,Manual,M,S,1,1,2,2,20522,83
24864,,Jeffery,J,Sun,,Klara Straße 6384,,Berlin,Saarland,Germany,12171,1 (11) 500 555-0135,2/8/1952,Partial College,Professional,M,M,1,2,1,4,116804,96
13386,,Samuel,R,Patterson,,3260 Marsh Meadow Way,,Lebanon,Oregon,United States,97355,668-555-0143,1/26/1950,Partial College,Professional,M,M,0,2,1,2,114622,97
26162,,Toni,,Malhotra,,7367 Wests Way,,Darlinghurst,New South Wales,Australia,2010,1 (11) 500 555-0157,8/10/1960,Partial College,Skilled Manual,F,M,1,2,2,3,75890,72
27131,,Edgar,M,Madan,,742 Grasswood Ct.,,Milton Keynes,England,United Kingdom,MK8 8DF,1 (11) 500 555-0178,8/16/1969,Graduate Degree,Skilled Manual,M,S,0,0,0,0,110222,75
12063,,Xavier,,Martinez,,3644 Rosarita,,Bellingham,Washington,United States,98225,957-555-0160,9/8/1944,Bachelors ,Management,M,M,1,2,0,4,101048,75
